state,cost_of_living
Mississippi,84.5
Kansas,86.8
Oklahoma,87.2
Arkansas,88.1
Alabama,89.2
New Mexico,89.3
Georgia,89.7
Tennessee,89.7
Indiana,89.8
Michigan,90.6
Iowa,91.3
Texas,92.0
Ohio,92.2
West Virginia,92.7
Nebraska,93.0
Louisiana,93.2
Kentucky,93.6
Idaho,93.9
Wyoming,94.3
Illinois,95.0
South Carolina,95.9
Wisconsin,96.1
North Carolina,96.1
North Dakota,96.5
Utah,97.9
Montana,99.4
South Dakota,99.8
Puerto Rico,99.8
Florida,99.8
Minnesota,100.7
Arizona,101.3
Virginia,101.5
Pennsylvania,104.0
Colorado,104.2
Delaware,107.7
New Hampshire,108.4
Nevada,108.8
Washington,113.0
Maine,116.1
Vermont,116.4
New Jersey,116.8
Rhode Island,119.6
Connecticut,123.0
Maryland,127.2
Alaska,127.3
Massachusetts,129.9
Oregon,133.7
California,142.4
New York,146.6
District of Columbia,159.0
Hawaii,198.6
Missouri,89.1
